Song Title;Streams;Daily;Album
Everlong;1078134925;830053;The colour and the shape
The Pretender;737175107;40741;Echoes, silence, patience & grace
Best of You;605359690;292686;In your honor
Learn to Fly;548061646;31433;There is nothing left to lose
My Hero;388855963;352027;The colour and the shape
All My Life;362414878;183398;One by one
Walk;231455461;95697;Wasting light
Everlong - Acoustic Version;221491523;95139;Greatest hits
Times Like These;221387134;116474;One by one
Monkey Wrench;218318935;110547;The colour and the shape
The Sky Is A Neighborhood;151265079;34686;Concrete and gold
Run;114761371;19421;Concrete and gold
These Days;111732884;38421;Wasting light
Big Me;97286026;65586;Foo Fighters
Wheels;96451882;39244;Greatest hits
Something from Nothing;83584842;11667;Sonic highways
Rope;79511778;22463;Wasting light
Breakout;76586508;38372;There is nothing left to lose
This Is a Call;70865657;34533;Foo Fighters
Long Road To Ruin;69058985;2486;Echoes, silence, patience & grace
Arlandria;57322177;16564;Wasting light
Saint Cecilia;55969510;12245;Saint Cecilia
Bridge Burning;52827820;13274;Wasting light
Let It Die;47585220;13139;Echoes, silence, patience & grace
I'll Stick Around;45627866;26059;Foo Fighters
Stranger Things Have Happened;42586310;13304;Echoes, silence, patience & grace
DOA;41491012;14282;In your honor
Waiting On A War;40228827;12162;Medicine at midnight
Congregation;40012045;3862;Sonic highways
No Way Back;39124679;15279;In your honor
Dear Rosemary;38544144;9775;Wasting light
The Feast and The Famine;37995213;3885;Sonic highways
Walking After You;36429550;14108;The colour and the shape
Outside;35105757;3268;Sonic highways
Shame Shame;32679374;963;Medicine at midnight
Home;31718591;8494;Echoes, silence, patience & grace
Times Like These - Acoustic Version;29739127;25001;Live
Rescued;28366722;30399;But here we are
Come Alive;27877960;7514;Echoes, silence, patience & grace
Hey, Johnny Park!;27780674;1423;The colour and the shape
Generator;27776402;12709;There is nothing left to lose
Stacked Actors;27170989;10508;There is nothing left to lose
The Line;26926583;2495;Concrete and gold
White Limo;26059773;5457;Wasting light
Making A Fire;25894609;7071;Medicine at midnight
I Am A River;25668575;2885;Sonic highways
Make It Right;25657619;2186;Medicine at midnight
Under You;24846365;38026;But here we are
Sunday Rain;24727126;2946;Concrete and gold
Aurora;24480854;11989;There is nothing left to lose
In The Clear;24130765;246;Sonic highways
No Son Of Mine;23256284;8058;Medicine at midnight
Skin And Bones - Live at the Pantages Theatre, Los Angeles, CA - August 2006;22941223;4087;Live
La Dee Da;22267321;2765;Concrete and gold
Times Like These - Live at the Pantages Theatre, Los Angeles, CA - August 2006;22126777;441;Live
Doll;21874066;28545;The colour and the shape
Arrows;21574853;2127;Concrete and gold
Back & Forth;20411017;3277;Wasting light
My Hero - Live at the Pantages Theatre, Los Angeles, CA - August 2006;19924349;5397;Live
I Should Have Known;19030160;3354;Wasting light
A Matter Of Time;17964020;2928;Wasting light
T-Shirt;17948179;1541;Concrete and gold
Low;17508426;4887;One by one
Next Year;17416097;6986;There is nothing left to lose
Best Of You - Live at the Pantages Theatre, Los Angeles, CA - August 2006;16963761;2848;Live
Dirty Water;16704790;2048;Concrete and gold
Ain't It The Life;16479521;4181;There is nothing left to lose
What Did I Do?/God As My Witness;16266978;1565;Sonic highways
Miss The Misery;15971053;27;Wasting light
Alone + Easy Target;15884249;9115;Foo Fighters
Virginia Moon;15875945;3294;In your honor
Word Forward;15419718;3198;Greatest hits
Come Back;13968717;2138;Echoes, silence, patience & grace
Tired Of You;13600083;2022;One by one
Happy Ever After (Zero Hour);13195679;1433;Concrete and gold
But, Honestly;13021182;3185;Echoes, silence, patience & grace
Cold Day In The Sun;12833008;291;In your honor
Erase/Replace;12580650;3011;Echoes, silence, patience & grace
The Glass;12484387;38058;But here we are
February Stars;12361116;6345;The colour and the shape
Subterranean;12191871;1323;Sonic highways
Up In Arms;11853938;6649;The colour and the shape
In Your Honor;11640382;3068;In your honor
Wind Up;11430714;5292;The colour and the shape
Summer's End;11249032;2589;Echoes, silence, patience & grace
Good Grief;11149795;679;Foo Fighters
Cheer Up, Boys (Your Make Up Is Running);10494608;2299;Echoes, silence, patience & grace
Love Dies Young;10182406;2892;Medicine at midnight
Concrete and Gold;10027286;1099;Concrete and gold
My Poor Brain;9878758;4827;The colour and the shape
Cloudspotter;9797322;2034;Medicine at midnight
Chasing Birds;9774442;2208;Medicine at midnight
Show Me How;9733156;9068;But here we are
Medicine At Midnight;9498805;2083;Medicine at midnight
Everlong - Live at the Pantages Theatre, Los Angeles, CA - August 2006;9316528;1859;Live
Resolve;9304795;2688;In your honor
See You;9237410;3945;The colour and the shape
Statues;9070759;2291;Echoes, silence, patience & grace
Enough Space;9016099;4482;The colour and the shape
Razor;8204606;1899;In your honor
New Way Home;8197500;3649;The colour and the shape
Ballad Of The Beaconsfield Miners;8171639;1663;Echoes, silence, patience & grace
Gimme Stitches;8021170;277;There is nothing left to lose
Nothing At All;7646048;11151;But here we are
Hearing Voices;7482894;10062;But here we are
Holding Poison;7393391;1886;Medicine at midnight
For All the Cows;7308808;276;Foo Fighters
Miracle;7113516;1615;In your honor
The Last Song;7051736;1491;In your honor
But Here We Are;7037806;9226;But here we are
What If I Do?;6832696;1501;In your honor
Friend Of A Friend;6816902;187;In your honor
Have It All;6753965;1992;One by one
Hell;6685107;1523;In your honor
Rope - deadmau5 mix;6489269;679;B-Sides
Floaty;6264942;274;Foo Fighters
On The Mend;6191859;1697;In your honor
Walking After You - Live at the Pantages Theatre, Los Angeles, CA - August 2006;6159920;109;Live
Another Round;6093783;1335;In your honor
End Over End;6054617;1453;In your honor
Halo;5963615;1465;One by one
Still;5864028;128;In your honor
Disenchanted Lullaby;5847987;1567;One by one
M.I.A.;5802970;1963;There is nothing left to lose
Big Me - Live at the Pantages Theatre, Los Angeles, CA - August 2006;5781594;1096;Live
Headwires;5749992;2252;One by one
The Colour And The Shape;5627701;2879;The colour and the shape
Weenie Beenie;5586916;2161;Foo Fighters
Wattershed;5469125;2485;Foo Fighters
Free Me;5460366;1222;In your honor
Live-In Skin;5445963;1854;There is nothing left to lose
Marigold - Live at the Pantages Theatre, Los Angeles, CA - August 2006;5414704;979;Live
Next Year - Live at the Pantages Theatre, Los Angeles, CA - August 2006;5379126;1002;Live
Over And Out;5319163;1193;In your honor
The Deepest Blues Are Black;5305912;123;In your honor
The Teacher;5251129;5536;But here we are
Exhausted;5224343;2304;Foo Fighters
Lonely As You;5175146;124;One by one
Overdrive;5171182;1414;One by one
Cold Day In The Sun - Live at the Pantages Theatre, Los Angeles, CA - August 2006;4908999;813;Live
Iron Rooster;4863898;530;Saint Cecilia
X-Static;4847363;1846;Foo Fighters
Razor - Live at the Pantages Theatre, Los Angeles, CA - August 2006;4792075;662;Live
Oh, George;4605965;1816;Foo Fighters
February Stars - Live at the Pantages Theatre, Los Angeles, CA - August 2006;4337783;679;Live
Beyond Me;4254792;4017;But here we are
Better Off;4249936;383;B-Sides
Over And Out - Live at the Pantages Theatre, Los Angeles, CA - August 2006;4121675;617;Live
Sean;4068317;565;Saint Cecilia
The Neverending Sigh;4025176;689;Saint Cecilia
Burn Away;3926000;901;One by one
Another Round - Live at the Pantages Theatre, Los Angeles, CA - August 2006;3893760;584;Live
Rest;3751028;4034;But here we are
Friend Of A Friend - Live at the Pantages Theatre, Los Angeles, CA - August 2006;3374010;544;Live
Making A Fire - Mark Ronson Re-Version;3363261;871;Medicine at midnight
Savior Breath;3202189;437;Saint Cecilia
The One;3081205;1148;B-Sides
Kids In America - Demo - 1991;2903567;667;B-Sides
The Glass;2637880;9702;But here we are
Walking A Line;2452978;870;B-Sides
Sister Europe;2360543;808;B-Sides
Have A Cigar;2171922;1048;B-Sides
How I Miss You;2009799;417;B-Sides
Monkey Wrench - Live at Cold Live At The Chapel, Melbourne, Australia - Feb 2000;2006148;618;Live
